drug_name,smiles,therapeutic_min_mg_L,therapeutic_max_mg_L,toxic_min_mg_L,half_life_h,half_life_h_max,source,pubchem_cid,unit_converted,data_quality_flag,likely_therapeutic_agent,non_therapeutic_reason
Levocabastine,CC1CN(CCC1(C2=CC=CC=C2)C(=O)O)C3CCC(CC3)(C#N)C4=CC=C(C=C4)F,0.001,0.01,,30,40,Schulz_2020_CritCare,54385,no,,True,
Levocetirizine,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,0.3,0.5,,6,10,Schulz_2020_CritCare,1549000,no,,True,
Levodopa (L-Dopa),C1=CC(=C(C=C1CC(C(=O)O)N)O)O,0.3,2,5,1,3,Schulz_2020_CritCare,6047,no,,True,
Levomepromazine,CC(CN1C2=CC=CC=C2SC3=C1C=C(C=C3)OC)CN(C)C,0.005,0.025,0.32,16,78,Schulz_2020_CritCare,72287,no,,True,
Levomethadone,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,0.04,0.4,0.4,24,48,Schulz_2020_CritCare,22267,no,,True,
Levomilnacipran,CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2,0.08,0.12,0.2,6,9,Schulz_2020_CritCare,6917779,no,,True,
Levorphanol,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)O,0.007,0.02,0.1,11,30,Schulz_2020_CritCare,5359272,no,,True,
Levothyroxine,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,0.045,0.14,,144,192,Schulz_2020_CritCare,5819,no,,True,
Lidocaine (Lignocaine),CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,0.5,5,6,1,4,Schulz_2020_CritCare,3676,no,,True,
Linagliptin,CC#CCN1C2=C(N=C1N3CCCC(C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C,0.002,0.004,,50,90,Schulz_2020_CritCare,10096344,no,,True,
Linezolid,CC(=O)NCC1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F,0.5,4,7.5,4,6,Schulz_2020_CritCare,441401,no,,True,
Lisinopril,C1CC(N(C1)C(=O)C(CCCCN)NC(CCC2=CC=CC=C2)C(=O)O)C(=O)O,0.02,0.07,0.5,4,12,Schulz_2020_CritCare,5362119,no,,True,
Lithium,[Li],4,8,8,8,50,Schulz_2020_CritCare,3028194,no,,True,
Lofepramine,CN(CCCN1C2=CC=CC=C2CCC3=CC=CC=C31)CC(=O)C4=CC=C(C=C4)Cl,0.003,0.01,,0.5,5,Schulz_2020_CritCare,3947,no,,True,
Loperamide,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,0.00024,0.0031,0.12,7,15,Schulz_2020_CritCare,3955,no,,True,
Lopinavir (LPV),CC1=C(C(=CC=C1)C)OCC(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)O,1.0,1.0,,5,6,Schulz_2020_CritCare,92727,no,,True,
Loprazolam,CN1CCN(CC1)C=C2C(=O)N3C(=N2)CN=C(C4=C3C=CC(=C4)[N+](=O)[O-])C5=CC=CC=C5Cl,0.003,0.01,,11,20,Schulz_2020_CritCare,3033860,no,,True,
Loratadine,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,0.001,0.02,,2,15,Schulz_2020_CritCare,3957,no,,True,
Lorazepam,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,0.03,0.25,0.3,10,16,Schulz_2020_CritCare,3958,no,,True,
Lorcainide,CC(C)N1CCC(CC1)N(C2=CC=C(C=C2)Cl)C(=O)CC3=CC=CC=C3,0.1,0.4,,5,10,Schulz_2020_CritCare,42884,no,,True,
Lormetazepam,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3Cl,0.002,0.01,0.1,8,15,Schulz_2020_CritCare,13314,no,,True,
Lornoxicam,CN1C(=C(C2=C(S1(=O)=O)C=C(S2)Cl)O)C(=O)NC3=CC=CC=N3,0.1,0.8,,2,6,Schulz_2020_CritCare,54690031,no,,True,
Losartan,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,0.2,0.2,1.8,1.5,2,Schulz_2020_CritCare,3961,no,,True,
Lovastatin,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,0.003,0.018,,2,3,Schulz_2020_CritCare,53232,no,,True,
Loxapine,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,0.005,0.03,0.02,6,8,Schulz_2020_CritCare,3964,no,,True,
Lurasidone,C1CCC(C(C1)CN2CCN(CC2)C3=NSC4=CC=CC=C43)CN5C(=O)C6C7CCC(C7)C6C5=O,0.015,0.04,0.12,20,40,Schulz_2020_CritCare,213046,no,,True,
"Lysergide (lysergic acid diethyl amide, LSD)",CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,0.0005,0.005,0.001,,,Schulz_2020_CritCare,5761,no,,False,psychedelic_schedule_i
Macitentan,CCCNS(=O)(=O)NC1=C(C(=NC=N1)OCCOC2=NC=C(C=N2)Br)C3=CC=C(C=C3)Br,0.2,0.4,,10,18,Schulz_2020_CritCare,16004692,no,,True,
Magnesium,[Mg],55,75,120,2.1,2.9,Schulz_2020_CritCare,5462224,no,,True,
Manganese,[Mn],0.0005,0.0015,,12,36,Schulz_2020_CritCare,23930,no,,False,toxic_metal
Maprotiline,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,0.075,0.13,0.22,20,60,Schulz_2020_CritCare,4011,no,,True,
Maraviroc (MVC),CC1=NN=C(N1C2CC3CCC(C2)N3CCC(C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C,0.05,0.05,,,,Schulz_2020_CritCare,3002977,no,,True,
Mebendazole,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,0.1,0.1,,3,9,Schulz_2020_CritCare,4030,no,,True,
Meclizine (Meclozine),CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl,0.001,0.045,,,,Schulz_2020_CritCare,4034,no,,True,
Meclofenamic acid (Meclofenamate),CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)O)Cl,2,7,,0.8,5.3,Schulz_2020_CritCare,4037,no,,True,
Medazepam,CN1CCN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0.1,0.5,0.6,2,5,Schulz_2020_CritCare,4041,no,,True,
Mefenamic acid,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,2,10,25,2,4,Schulz_2020_CritCare,4044,no,,True,
Mefloquine,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,0.4,1,1.5,10,30,Schulz_2020_CritCare,4046,no,,True,
Melatonin,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,0.0005,0.1,,0.5,1,Schulz_2020_CritCare,896,no,,True,
Melitracen,CC1(C2=CC=CC=C2C(=CCCN(C)C)C3=CC=CC=C31)C,0.01,0.1,,12,24,Schulz_2020_CritCare,25382,no,,True,
Meloxicam,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,0.4,2,4,17,22,Schulz_2020_CritCare,54677470,no,,True,
Melperone,CC1CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F,0.03,0.1,0.2,4,8,Schulz_2020_CritCare,15387,no,,True,
Memantine,CC12CC3CC(C1)(CC(C3)(C2)N)C,0.09,0.15,0.3,60,100,Schulz_2020_CritCare,4054,no,,True,
Mephenesin,CC1=CC=CC=C1OCC(CO)O,3,10,,1,4,Schulz_2020_CritCare,4059,no,,True,
Mepindolol,CC1=CC2=C(N1)C=CC=C2OCC(CNC(C)C)O,0.007,0.07,,3,6,Schulz_2020_CritCare,71698,no,,True,
Mepivacaine,CC1=C(C(=CC=C1)C)NC(=O)C2CCCCN2C,0.4,4,5,1,3,Schulz_2020_CritCare,4062,no,,True,
Meprobamate,CCCC(C)(COC(=O)N)COC(=O)N,5,10,10,6,17,Schulz_2020_CritCare,4064,no,,True,
Meptazinol,CCC1(CCCCN(C1)C)C2=CC(=CC=C2)O,0.025,0.25,,1,4,Schulz_2020_CritCare,41049,no,,True,
Mercaptopurine,C1=NC2=C(N1)C(=S)N=CN2,0.03,0.1,1,0.5,1.5,Schulz_2020_CritCare,667490,no,,True,
Mercury,[Hg],0.0015,0.002,0.05,432,576,Schulz_2020_CritCare,23931,no,,False,toxic_metal
Meropenem,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)N(C)C)C(=O)O)C(C)O,2,8,25,1,,Schulz_2020_CritCare,441130,no,,True,
Mescaline,COC1=CC(=CC(=C1OC)OC)CCN,1.5,3.8,,6,,Schulz_2020_CritCare,4076,no,,False,psychedelic_schedule_i
Mesoridazine,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C,0.1,1,3,2,9,Schulz_2020_CritCare,4078,no,,True,
Metaclazepam,CN1C(CN=C(C2=C1C=CC(=C2)Br)C3=CC=CC=C3Cl)COC,0.05,0.2,,7,23,Schulz_2020_CritCare,71272,no,,True,
Metamizole (Dipyrone),CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)O,10,10,20,5,8,Schulz_2020_CritCare,3111,no,,True,
Metaxalone,CC1=CC(=CC(=C1)OCC2CNC(=O)O2)C,0.6,3,11,2,14,Schulz_2020_CritCare,15459,no,,True,
Metformin,CN(C)C(=N)N=C(N)N,0.1,2,5,2,9,Schulz_2020_CritCare,4091,no,,True,
Methadone,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,0.1,0.6,0.3,24,48,Schulz_2020_CritCare,4095,no,,True,
Methapyrilene,CN(C)CCN(CC1=CC=CS1)C2=CC=CC=N2,0.1,0.1,4,,,Schulz_2020_CritCare,4098,no,,True,
Methaqualone,CC1=CC=CC=C1N2C(=NC3=CC=CC=C3C2=O)C,1,3,3,10,40,Schulz_2020_CritCare,6292,no,,False,schedule_i_depressant
Methimazole,CN1C=CNC1=S,0.5,2.5,,2,28,Schulz_2020_CritCare,1349907,no,,True,
Methocarbamol,COC1=CC=CC=C1OCC(COC(=O)N)O,25,40,250,1,2,Schulz_2020_CritCare,4107,no,,True,
Methohexital,CCC#CC(C)C1(C(=O)NC(=O)N(C1=O)C)CC=C,0.5,5,2,1,6,Schulz_2020_CritCare,9034,no,,True,
Methotrexate (MTX),CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,0.01,0.01,0.75,6,8,Schulz_2020_CritCare,126941,no,,True,
Methoxsalen (8-Methoxypsoralene),COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,0.025,0.1,0.6,0.5,1.5,Schulz_2020_CritCare,4114,no,,True,
Methsuximide (Mesuximide),CC1(CC(=O)N(C1=O)C)C2=CC=CC=C2,10,40,45,20,40,Schulz_2020_CritCare,6476,no,,True,
Methyldopa,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N,1,5,7,1.5,3,Schulz_2020_CritCare,38853,no,,True,
Methylphenidate,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,0.01,0.06,0.05,2,7,Schulz_2020_CritCare,4158,no,,True,
Methyprylon(e),CCC1(C(=O)C(CNC1=O)C)CC,1,20,12,3,11,Schulz_2020_CritCare,4162,no,,True,
Metiamide,CC1=C(N=CN1)CSCCNC(=S)NC,0.01,0.06,,,,Schulz_2020_CritCare,1548992,no,,True,
Metipranolol,CC1=CC(=C(C(=C1OC(=O)C)C)C)OCC(CNC(C)C)O,0.02,0.08,,2,3.5,Schulz_2020_CritCare,31477,no,,True,
Metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,0.05,0.15,0.2,3,6,Schulz_2020_CritCare,4168,no,,True,
Metocurine,C[N+]1(CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC(=C(C=C7)OC)O3)[N+](CCC6=CC(=C5OC)OC)(C)C)OC)C,0.4,1,,5,7,Schulz_2020_CritCare,21233,no,,True,
Metolazone,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,0.005,0.05,,6,11,Schulz_2020_CritCare,4170,no,,True,
Metoprolol,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,0.035,0.5,0.65,2.5,7.5,Schulz_2020_CritCare,4171,no,,True,
Metrifonate,COP(=O)(C(C(Cl)(Cl)Cl)O)OC,1.4,3.6,,2,5,Schulz_2020_CritCare,5853,no,,True,
Metronidazole,CC1=NC=C(N1CCO)[N+](=O)[O-],3,10,,6,14,Schulz_2020_CritCare,4173,no,,True,
Mexiletine,CC1=C(C(=CC=C1)C)OCC(C)N,0.5,2,1.5,6,17,Schulz_2020_CritCare,4178,no,,True,
Mianserin,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,0.015,0.07,0.14,14,33,Schulz_2020_CritCare,4184,no,,True,
Mibefradil,CC(C)C1C2=C(CCC1(CCN(C)CCCC3=NC4=CC=CC=C4N3)OC(=O)COC)C=C(C=C2)F,0.2,0.3,,17,25,Schulz_2020_CritCare,60663,no,,True,
Miconazole,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,1,1,,24,,Schulz_2020_CritCare,4189,no,,True,
Midazolam,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,0.04,0.1,1,1,3,Schulz_2020_CritCare,4192,no,,True,
Mifepristone (RU-486),CC#CC1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)O,0.1,4,,24,48,Schulz_2020_CritCare,55245,no,,True,
Milnacipran,CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2,0.1,0.15,0.3,5,8,Schulz_2020_CritCare,65833,no,,True,
Milrinone,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2,0.15,0.25,0.3,1,3,Schulz_2020_CritCare,4197,no,,True,
Minaprine,CC1=CC(=NN=C1NCCN2CCOCC2)C3=CC=CC=C3,0.1,0.4,,,,Schulz_2020_CritCare,4199,no,,True,
Minoxidil,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,0.02,0.2,3.1,1,4,Schulz_2020_CritCare,4201,no,,True,
Mirabegron,C1=CC=C(C=C1)C(CNCCC2=CC=C(C=C2)NC(=O)CC3=CSC(=N3)N)O,0.005,0.03,,30,50,Schulz_2020_CritCare,9865528,no,,True,
Mirtazapine,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,0.03,0.08,0.16,20,40,Schulz_2020_CritCare,4205,no,,True,
Mitotane,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,14,20,20,18,159,Schulz_2020_CritCare,4211,no,,True,
Mitragynine (Kratom),CCC1CN2CCC3=C(C2CC1C(=COC)C(=O)OC)NC4=C3C(=CC=C4)OC,0.02,0.1,,23,,Schulz_2020_CritCare,3034396,no,,False,nps_no_approval
Mizolastine,CN(C1CCN(CC1)C2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)F)C5=NC=CC(=O)N5,0.2,0.8,,5,17,Schulz_2020_CritCare,65906,no,,True,
Moclobemide,C1COCCN1CCNC(=O)C2=CC=C(C=C2)Cl,0.3,1.0,2,1,7,Schulz_2020_CritCare,4235,no,,True,
Modafinil,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,1,1.7,3.4,10,15,Schulz_2020_CritCare,4236,no,,True,
Moexiprilat,CC(C(=O)N1CC2=CC(=C(C=C2CC1C(=O)O)OC)OC)NC(CCC3=CC=CC=C3)C(=O)O,0.005,0.04,,2,10,Schulz_2020_CritCare,55331,no,,True,
Molindone,CCC1=C(NC2=C1C(=O)C(CC2)CN3CCOCC3)C,0.005,0.5,0.15,1.2,2.8,Schulz_2020_CritCare,23897,no,,True,
Molsidomine,CCOC(=NC1=C[N+](=NO1)N2CCOCC2)[O-],0.002,0.03,,1,2.5,Schulz_2020_CritCare,5353788,no,,True,
Montelukast (MK-0476),CC(C)(C1=CC=CC=C1CCC(C2=CC=CC(=C2)C=CC3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)O)O,0.02,0.3,0.6,3,6,Schulz_2020_CritCare,5281040,no,,True,
Moricizine,CCOC(=O)NC1=CC2=C(C=C1)SC3=CC=CC=C3N2C(=O)CCN4CCOCC4,0.12,1.27,,6,13,Schulz_2020_CritCare,34633,no,,True,
Morphine,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O,0.01,0.1,0.1,1,4,Schulz_2020_CritCare,5288826,no,,True,
Moxonidine,CC1=NC(=C(C(=N1)Cl)NC2=NCCN2)OC,0.001,0.002,,2,4,Schulz_2020_CritCare,4810,no,,True,
Mycophenolate mofetil,CC1=C2COC(=O)C2=C(C(=C1OC)CC=C(C)CCC(=O)OCCN3CCOCC3)O,0.3,3.5,44,16,18,Schulz_2020_CritCare,5281078,no,,True,
Nadolol,CC(C)(C)NCC(COC1=CC=CC2=C1CC(C(C2)O)O)O,0.01,0.25,,20,24,Schulz_2020_CritCare,39147,no,,True,
Naftidrofuryl (Nafronyl),CCN(CC)CCOC(=O)C(CC1CCCO1)CC2=CC=CC3=CC=CC=C32,0.5,0.5,,1,2,Schulz_2020_CritCare,4417,no,,True,
Nalbuphine,C1CC(C1)CN2CCC34C5C(CCC3(C2CC6=C4C(=C(C=C6)O)O5)O)O,0.02,0.2,,2.5,7,Schulz_2020_CritCare,5311304,no,,True,
Nalidixic acid,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,10,30,40,1,2,Schulz_2020_CritCare,4421,no,,True,
Nalmefene,C=C1CCC2(C3CC4=C5C2(C1OC5=C(C=C4)O)CCN3CC6CC6)O,0.01,0.05,0.2,5,11,Schulz_2020_CritCare,5284594,no,,True,
Naloxone,C=CCN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)O)O4)O,0.01,0.03,,1,2,Schulz_2020_CritCare,5284596,no,,True,
Naltrexone,C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=C(C=C6)O)O5)O,0.003,0.05,0.2,2,5,Schulz_2020_CritCare,5360515,no,,True,
Naproxen,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,50,100,200,9,22,Schulz_2020_CritCare,156391,no,,True,
Naratriptan,CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C,0.01,0.05,,5,6,Schulz_2020_CritCare,4440,no,,True,
Nateglinide,CC(C)C1CCC(CC1)C(=O)NC(CC2=CC=CC=C2)C(=O)O,0.09,1.2,,1,2,Schulz_2020_CritCare,5311309,no,,True,
Nebivolol,C1CC2=C(C=CC(=C2)F)OC1C(CNCC(C3CCC4=C(O3)C=CC(=C4)F)O)O,0.001,0.02,0.12,8,14,Schulz_2020_CritCare,71301,no,,True,
Nedocromil,CCCC1=C2C(=CC3=C1OC(=CC3=O)C(=O)O)C(=O)C=C(N2CC)C(=O)O,0.02,0.02,,1.5,3.3,Schulz_2020_CritCare,50294,no,,True,
Nefazodone,CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,0.03,2.5,5.5,2,6,Schulz_2020_CritCare,4449,no,,True,
Nefopam,CN1CCOC(C2=CC=CC=C2C1)C3=CC=CC=C3,0.01,0.1,0.6,3,8,Schulz_2020_CritCare,4450,no,,True,
Nelfinavir (NFV),CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O,0.8,0.8,,3.5,5,Schulz_2020_CritCare,64143,no,,True,
Neostigmine,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C,0.001,0.01,,0.4,1.3,Schulz_2020_CritCare,4456,no,,True,
Netilmicin,CCNC1CC(C(C(C1OC2C(C(C(CO2)(C)O)NC)O)O)OC3C(CC=C(O3)CN)N)N,0.5,2,15,0.5,3,Schulz_2020_CritCare,441306,no,,True,
Nevirapine (NVP),CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,3.0,3.0,,25,30,Schulz_2020_CritCare,4463,no,,True,
Nicardipine,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC,0.07,0.1,,7,12,Schulz_2020_CritCare,4474,no,,True,
Nicotine,CN1CCCC1C2=CN=CC=C2,0.005,0.03,0.4,1,4,Schulz_2020_CritCare,89594,no,,True,
Nicotinic acid,C1=CC(=CN=C1)C(=O)O,4,18,,0.3,1,Schulz_2020_CritCare,938,no,,True,
Nifedipine,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,0.01,0.2,,2,5,Schulz_2020_CritCare,4485,no,,True,
Niflumic acid,C1=CC(=CC(=C1)NC2=C(C=CC=N2)C(=O)O)C(F)(F)F,2,35,,2,3,Schulz_2020_CritCare,4488,no,,True,
Nilvadipine,CC1=C(C(C(=C(N1)C#N)C(=O)OC)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC(C)C,0.01,0.01,,9,13,Schulz_2020_CritCare,4494,no,,True,
Nimesulide,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,3,6.5,,2,7,Schulz_2020_CritCare,4495,no,,True,
Nimodipine,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC,0.01,0.05,,1,2,Schulz_2020_CritCare,4497,no,,True,
Nimustine (ACNU),CC1=NC=C(C(=N1)N)CNC(=O)N(CCCl)N=O,0.0002,0.0005,,,,Schulz_2020_CritCare,39214,yes,unit_converted:ng_per_mL_to_mg_per_L,True,
Nisoldipine,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,0.001,0.003,1.5,7,12,Schulz_2020_CritCare,4499,no,,True,
Nitrazepam,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3,0.03,0.1,0.2,18,30,Schulz_2020_CritCare,4506,no,,True,
Nitrendipine,CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C,0.01,0.05,,8,12,Schulz_2020_CritCare,4507,no,,True,
Nitrofurantoin,C1C(=O)NC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-],0.5,5,,0.7,1.5,Schulz_2020_CritCare,6604200,no,,True,
Nizatidine,CNC(=C[N+](=O)[O-])NCCSCC1=CSC(=N1)CN(C)C,0.05,1,,0.7,2.1,Schulz_2020_CritCare,4513,no,,True,
Nomifensin(e),CN1CC(C2=C(C1)C(=CC=C2)N)C3=CC=CC=C3,0.01,0.1,8,2,5,Schulz_2020_CritCare,4528,no,,True,
Nordazepam (Desmethlydiazepam),C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3,0.12,0.8,1.5,30,90,Schulz_2020_CritCare,2997,no,,True,
Norfenefrine,C1=CC(=CC(=C1)O)C(CN)O,0.002,0.002,,3,7,Schulz_2020_CritCare,4538,no,,True,
Norfloxacin,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,0.5,5,,3,4,Schulz_2020_CritCare,4539,no,,True,
Normesuximide (N-Desmethylmesuximide),CC1(CC(=O)NC1=O)C2=CC=CC=C2,10,40,45,36,45,Schulz_2020_CritCare,92154,no,,True,
Nortriptyline (see also Amitriptyline),CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,0.07,0.17,0.3,18,44,Schulz_2020_CritCare,4543,no,,True,
Noscapine,CN1CCC2=CC3=C(C(=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3,0.02,0.4,,1.5,4,Schulz_2020_CritCare,275196,no,,True,
Octisalate,CCCCC(CC)COC(=O)C1=CC=CC=C1O,0.001,0.006,,27,77,Schulz_2020_CritCare,8364,no,,False,sunscreen_topical_not_systemic
Octinoxate,CCCCC(CC)COC(=O)C=CC1=CC=C(C=C1)OC,0.001,0.008,,50,157,Schulz_2020_CritCare,5355130,no,,False,sunscreen_topical_not_systemic
Octocrylene,CCCCC(CC)COC(=O)C(=C(C1=CC=CC=C1)C2=CC=CC=C2)C#N,0.001,0.02,,50,80,Schulz_2020_CritCare,22571,no,,False,sunscreen_topical_not_systemic
Ofloxacin,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,2,3,39,5,8,Schulz_2020_CritCare,4583,no,,True,
Olanzapine,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,0.02,0.08,0.1,30,60,Schulz_2020_CritCare,135398745,no,,True,
Olmesartan,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,0.1,1,,6,15,Schulz_2020_CritCare,158781,no,,True,
Omecamtiv mecarbil,CC1=NC=C(C=C1)NC(=O)NC2=CC=CC(=C2F)CN3CCN(CC3)C(=O)OC,0.03,0.5,1.2,18,21,Schulz_2020_CritCare,11689883,no,,True,
Omeprazole,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,0.05,4,8,0.5,1,Schulz_2020_CritCare,4594,no,,True,
Ondansetron,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,0.03,0.3,,3,5.5,Schulz_2020_CritCare,4595,no,,True,
Opipramol,C1CN(CCN1CCCN2C3=CC=CC=C3C=CC4=CC=CC=C42)CCO,0.05,0.5,1,6,12,Schulz_2020_CritCare,9417,no,,True,
Orphenadrine,CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C,0.1,0.2,1.7,13,20,Schulz_2020_CritCare,4601,no,,True,
Oxaprozin,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,60,200,,30,70,Schulz_2020_CritCare,4614,no,,True,
Oxatomide,C1CN(CCN1CCCN2C3=CC=CC=C3NC2=O)C(C4=CC=CC=C4)C5=CC=CC=C5,0.02,0.1,0.25,14,30,Schulz_2020_CritCare,4615,no,,True,
Oxazepam,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,0.2,1.5,2,4,20,Schulz_2020_CritCare,4616,no,,True,
Oxcarbazepine,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N,10,35,35,1,5,Schulz_2020_CritCare,34312,no,,True,
Oxprenolol,CC(C)NCC(COC1=CC=CC=C1OCC=C)O,0.05,0.3,2,1,4,Schulz_2020_CritCare,4631,no,,True,
