drug_name,smiles,therapeutic_min_mg_L,therapeutic_max_mg_L,toxic_min_mg_L,half_life_h,half_life_h_max,source,pubchem_cid,unit_converted,data_quality_flag
Carvedilol,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,0.02,0.15,0.47,6,10,Schulz_2020_CritCare,2585,no,
Cathine,CC(C(C1=CC=CC=C1)O)N,0.054,0.087,,1.8,8.6,Schulz_2020_CritCare,441457,no,
Cathinone,CC(C(=O)C1=CC=CC=C1)N,0.047,0.087,,0.7,2.3,Schulz_2020_CritCare,62258,no,
Cefaclor,C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)Cl,13,35,,0.5,1,Schulz_2020_CritCare,51039,no,
Cefadroxil,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O,-30,-30,,1,2,Schulz_2020_CritCare,47965,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Cefalexin,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)N)SC1)C(=O)O,-65,-65,,1,1.5,Schulz_2020_CritCare,27447,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Cefaloridine,C1C(=C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CS3)C(=O)[O-])C[N+]4=CC=CC=C4,20,80,,1.5,,Schulz_2020_CritCare,5773,no,
Cefamandole,CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)C(C4=CC=CC=C4)O)SC2)C(=O)O,1,5,,0.5,1.2,Schulz_2020_CritCare,456255,no,
Cefazolin,CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)O,-150,-150,,1.5,2,Schulz_2020_CritCare,33255,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Cefdinir,C=CC1=C(N2C(C(C2=O)NC(=O)C(=NO)C3=CSC(=N3)N)SC1)C(=O)O,-4,-4,,1.1,2.3,Schulz_2020_CritCare,6915944,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Cefepime,C[N+]1(CCCC1)CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-],-160,-160,,2,,Schulz_2020_CritCare,5479537,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Cefetamet,CC1=C(N2C(C(C2=O)NC(=O)C(=NOC)C3=CSC(=N3)N)SC1)C(=O)O,-7,-7,,2,3,Schulz_2020_CritCare,5487888,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Cefixime,C=CC1=C(N2C(C(C2=O)NC(=O)C(=NOCC(=O)O)C3=CSC(=N3)N)SC1)C(=O)O,-7,-7,,3,4,Schulz_2020_CritCare,5362065,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Cefmenoxime,CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O,-200,-200,,1,2,Schulz_2020_CritCare,9570757,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Cefodizime,CC1=C(SC(=N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O)CC(=O)O,-400,-400,,2,4,Schulz_2020_CritCare,5361871,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Cefoperazone,CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=C(C=C2)O)C(=O)NC3C4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)O,-250,-250,,1,2,Schulz_2020_CritCare,44187,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Cefotaxime,CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)C(=NOC)C3=CSC(=N3)N)SC1)C(=O)O,0.5,2,,1,1.5,Schulz_2020_CritCare,5742673,no,
Cefotetan,CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)(NC(=O)C4SC(=C(C(=O)N)C(=O)O)S4)OC)SC2)C(=O)O,65,90,,3.5,,Schulz_2020_CritCare,53025,no,
Cefotiam,CN(C)CCN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)CC4=CSC(=N4)N)SC2)C(=O)O,-150,-150,,0.7,1.5,Schulz_2020_CritCare,43708,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Cefoxitin,COC1(C2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)O)NC(=O)CC3=CC=CS3,-150,-150,,0.7,1,Schulz_2020_CritCare,441199,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Cefpodoxime,COCC1=C(N2C(C(C2=O)NC(=O)C(=NOC)C3=CSC(=N3)N)SC1)C(=O)O,-7,-7,,2,3,Schulz_2020_CritCare,6335986,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Cefsulodin,C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)S(=O)(=O)O)C(=O)[O-])C[N+]4=CC=C(C=C4)C(=O)N,20,100,,1.6,1.9,Schulz_2020_CritCare,656575,no,
Ceftazidime,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-],20,40,,1,4,Schulz_2020_CritCare,5481173,no,
Ceftibuten,C1C=C(N2C(S1)C(C2=O)NC(=O)C(=CCC(=O)O)C3=CSC(=N3)N)C(=O)O,3,20,,2,4,Schulz_2020_CritCare,5282242,no,
Ceftizoxime,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=CCS3)C(=O)O,40,160,,6,9,Schulz_2020_CritCare,6533629,no,
Ceftriaxone,CN1C(=NC(=O)C(=O)N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O,15,75,,4.5,8.5,Schulz_2020_CritCare,5479530,no,
Cefuroxime,CON=C(C1=CC=CO1)C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O,0.5,1,,1.1,1.3,Schulz_2020_CritCare,5479529,no,
Celecoxib,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,0.36,0.8,,7,16,Schulz_2020_CritCare,2662,no,
Celiprolol,CCN(CC)C(=O)NC1=CC(=C(C=C1)OCC(CNC(C)(C)C)O)C(=O)C,0.05,0.5,,3,6,Schulz_2020_CritCare,2663,no,
Cephalothin (Cefalotin),CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)CC3=CC=CS3)SC1)C(=O)O,-30,-30,,0.5,0.6,Schulz_2020_CritCare,6024,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Cerivastatin,CC(C)C1=C(C(=C(C(=N1)C(C)C)COC)C2=CC=C(C=C2)F)C=CC(CC(CC(=O)O)O)O,0.002,0.04,,1.5,3,Schulz_2020_CritCare,446156,no,
Cetirizine,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,0.1,0.6,2,7,10,Schulz_2020_CritCare,2678,no,
Chloralhydrate,C(C(Cl)(Cl)Cl)(O)O,1.5,15,40,6,10,Schulz_2020_CritCare,2707,no,
Chlorambucil,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,0.15,0.3,,1.5,3,Schulz_2020_CritCare,2708,no,
Chloramphenicol,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],5,10,25,2,6,Schulz_2020_CritCare,5959,no,
Chlordane,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,-0.001,-0.001,0.0025,88,,Schulz_2020_CritCare,11954021,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Chlordiazepoxide,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,0.4,3,3.5,6,27,Schulz_2020_CritCare,2712,no,
Chlormezanone,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,5,9,20,20,30,Schulz_2020_CritCare,2717,no,
Chloroform,C(Cl)(Cl)Cl,20,50,70,1.5,,Schulz_2020_CritCare,6212,no,
Chloroquine,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,0.02,0.5,0.8,72,336,Schulz_2020_CritCare,2719,no,
Chlorothiazide,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,2,18,,0.5,2,Schulz_2020_CritCare,2720,no,
Chlorphenamine (Chlorpheniramine),CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,0.01,0.02,,15,25,Schulz_2020_CritCare,2725,no,
Chlorpromazine,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,0.03,0.1,0.6,10,30,Schulz_2020_CritCare,2726,no,
Chlorpropamide,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,30,250,200,25,60,Schulz_2020_CritCare,2727,no,
Chlorprothixene,CN(C)CCC=C1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,0.02,0.3,0.4,8,12,Schulz_2020_CritCare,667467,no,
Chlortalidone,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,0.15,0.3,2,44,48,Schulz_2020_CritCare,2732,no,
Chlortetracycline,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O,1,5,30,5,6,Schulz_2020_CritCare,54675777,no,
Chromium,[Cr],0.0005,0.0005,0.001,3,4,Schulz_2020_CritCare,23976,no,
Cibenzoline,C1CN=C(N1)C2CC2(C3=CC=CC=C3)C4=CC=CC=C4,0.2,0.4,1,7,8,Schulz_2020_CritCare,2747,no,
Cicletanine,CC1=NC=C2C(OCC2=C1O)C3=CC=C(C=C3)Cl,1,2,,5,23,Schulz_2020_CritCare,54910,no,
"Ciclosporine A (Cyclosporine, CsA)",CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,0.1,0.25,0.3,10,27,Schulz_2020_CritCare,5284373,no,
Cidofovir,C1=CN(C(=O)N=C1N)CC(CO)OCP(=O)(O)O,7,43,,2.5,,Schulz_2020_CritCare,60613,no,
Cilazapril (Cilazaprilat),CCOC(=O)C(CCC1=CC=CC=C1)NC2CCCN3CCCC(N3C2=O)C(=O)O,0.003,0.09,,30,50,Schulz_2020_CritCare,56330,no,
Cilostazol,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,0.18,0.54,,12,,Schulz_2020_CritCare,2754,no,
Cimetidine,CC1=C(N=CN1)CSCCNC(=NC)NC#N,0.25,3,19,1.5,4,Schulz_2020_CritCare,2756,no,
Cinnarizine,C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,0.04,0.33,7.4,12,34,Schulz_2020_CritCare,1547484,no,
Cinoxacin,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,15,15,,1.5,4,Schulz_2020_CritCare,2762,no,
Ciprofloxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,2.5,4,11.5,3,6,Schulz_2020_CritCare,2764,no,
Citalopram,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,0.05,0.11,0.22,25,48,Schulz_2020_CritCare,2771,no,
Cladribine,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O,0.006,0.006,,0.1,0.2,Schulz_2020_CritCare,20279,no,
Clarithromycin,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,0.2,2,,3,7,Schulz_2020_CritCare,84029,no,
Clemastine,CC(C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCCC3CCCN3C,0.001,0.002,,10,32,Schulz_2020_CritCare,26987,no,
Clenbuterol,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,0.0003,0.0006,0.003,30,35,Schulz_2020_CritCare,2783,no,
Clindamycin,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl,0.5,2,,2,3,Schulz_2020_CritCare,446598,no,
Clobazam,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0.03,0.3,0.5,18,42,Schulz_2020_CritCare,2789,no,
Clobutinol,CC(CN(C)C)C(C)(CC1=CC=C(C=C1)Cl)O,0.05,0.2,,23,34,Schulz_2020_CritCare,26937,no,
Clodronate (Clodronic acid),C(P(=O)(O)O)(P(=O)(O)O)(Cl)Cl,0.7,1,,168,192,Schulz_2020_CritCare,25419,no,
Clofibrate,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,50,250,,10,18,Schulz_2020_CritCare,2796,no,
Clomethiazole (Chlormethiazole),CC1=C(SC=N1)CCCl,0.1,5,4,3,5,Schulz_2020_CritCare,10783,no,
Clomipramine Clomipramin + N-Desmethylclomipramin,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,0.09,0.25,0.4,16,60,Schulz_2020_CritCare,2801,no,
Clonazepam,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,0.02,0.07,0.08,20,60,Schulz_2020_CritCare,2802,no,
Clonidine,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,0.001,0.002,0.009,5,20,Schulz_2020_CritCare,2803,no,
Clopamide,CC1CCCC(N1NC(=O)C2=CC(=C(C=C2)Cl)S(=O)(=O)N)C,0.06,0.18,,6,14,Schulz_2020_CritCare,12492,no,
Clopenthixol (Clopentixol),C1CN(CCN1CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,0.002,0.015,0.1,15,25,Schulz_2020_CritCare,12454,no,
Clopidogrel,COC(=O)C(C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3,0.001,0.006,,1.5,4,Schulz_2020_CritCare,60606,no,
Clotiazepam,CCC1=CC2=C(S1)N(C(=O)CN=C2C3=CC=CC=C3Cl)C,0.1,0.7,,3,15,Schulz_2020_CritCare,2811,no,
Cloxacillin,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,5,30,,0.5,1,Schulz_2020_CritCare,6098,no,
Clozapine,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,0.35,0.6,0.6,12,16,Schulz_2020_CritCare,135398737,no,
Cobalt,[Co],0.0001,0.001,0.4,2,,Schulz_2020_CritCare,104730,no,
Cocaine,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,0.05,0.3,0.5,0.5,1,Schulz_2020_CritCare,446220,no,
Codeine,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O,0.03,0.25,0.5,3,4,Schulz_2020_CritCare,5284371,no,
Colchicine,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,0.0003,0.0025,0.005,11,32,Schulz_2020_CritCare,6167,no,
Colistin,CCC(C)CCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCN)CC(C)C)CC(C)C)CCN)CCN)C(C)O,1,5,,1.5,2,Schulz_2020_CritCare,5311054,no,
Copper,[Cu],0.6,1.5,0.8,26,,Schulz_2020_CritCare,23978,no,
Cromolyn (Cromoglycate),C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)O)O)C(=O)C=C(O2)C(=O)O,-0.01,-0.01,,1,1.5,Schulz_2020_CritCare,2882,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Cyclizine,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,0.1,0.25,0.75,7,24,Schulz_2020_CritCare,6726,no,
Cyclobarbital,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2,2,6,10,8,17,Schulz_2020_CritCare,5838,no,
Cyclobenzaprine,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,0.003,0.04,0.4,18,,Schulz_2020_CritCare,2895,no,
Cyclohexane,C1CCCCC1,-0.4,-0.4,,1,3,Schulz_2020_CritCare,8078,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl,10,25,,4,8,Schulz_2020_CritCare,2907,no,
Cyclopropane,C1CC1,80,180,,,,Schulz_2020_CritCare,6351,no,
Cyproheptadine,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1,-0.05,-0.05,0.13,8,9,Schulz_2020_CritCare,2913,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Cyproterone acetate,CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)C5CC5C34C)Cl)C)OC(=O)C,0.01,0.2,,30,40,Schulz_2020_CritCare,9880,no,
Cysteamine,C(CS)N,1.55,1.55,,,,Schulz_2020_CritCare,6058,no,
